     Depth    # of puzzles    Avg solution cost        Avg time cost
        24               5                38413             0.672266
        25               8                61937             2.157170
        27               2               127820            11.258567
        28               1               161561            19.150731
        29               1               238379            51.410846
     Depth    # of puzzles    Avg solution cost        Avg time cost
        12               1                  182             0.000093
        16               1                 1109             0.002410
        17               1                 1482             0.002938
        18               1                 2465             0.002161
        19               4                 4216             0.006627
        20              10                 6590             0.016251
        21              10                10897             0.047892
        22               3                15388             0.092984
        23               4                27562             0.348152
        24               4                41247             0.844956
        25               4                60701             1.931292
        26               2                88415             5.189029
        27               1               131796            13.349873
        28               4               170059            24.971971
     Depth    # of puzzles    Avg solution cost        Avg time cost
        13               1                  374             0.000229
        14               1                  433             0.000634
        16               2                  987             0.001992
        17               3                 1789             0.001783
        18               1                 2478             0.007903
        19               1                 4283             0.005779
        20               6                 6134             0.014936
        21               4                10810             0.059481
        22              11                16359             0.100809
        23               4                27479             0.326520
        24               9                37818             0.717204
        25               5                62041             2.202168
        26               1                80533             3.827286
        27               1               133089            15.209754
     Depth    # of puzzles    Avg solution cost        Avg time cost
        12               1                  237             0.000142
        15               1                  779             0.013255
        16               1                 1227             0.000835
        17               1                 1629             0.001210
        18               2                 2331             0.002220
        19               4                 4561             0.006956
        20               4                 6530             0.013601
        21               6                11095             0.043123
        22               6                16204             0.094135
        23               6                26114             0.273871
        24               7                36660             0.716532
        25               5                61553             2.075032
        26               4                84572             4.330552
        27               1               127102            12.049779
        28               1               165644            21.789785
     Depth    # of puzzles    Avg solution cost        Avg time cost
        13               1              2218126             0.000196
        15               2              2530412             0.000457
        16               1              1876740             0.000486
        17               3              1935375             0.001754
        19               3              2369408             0.010744
        20               5              1870172             0.023565
        21               4              1736583             0.036100
        22               3              1371892             0.178185
        23              10              2058719             0.400448
        24               7              1582447             0.775639
        25               1               653269             1.942553
        26               7              1571630             4.520083
        27               2              1631133            14.307978
        28               1               287563            20.936284
     Depth    # of puzzles    Avg solution cost        Avg time cost
        12               1              1290503             0.000065
        15               2              1173306             0.000381
        17               2               508015             0.001593
        19               3              1130465             0.006065
        20               7              1027289             0.009090
        21               3              1169174             0.020939
        22               8              1279902             0.058484
        23               8               861916             0.190639
        24               9              1018791             0.435679
        25               3              1259277             1.586782
        26               1              1205397             2.488377
        27               1              1895386             5.774905
        28               1               261418             9.741015
        29               1               983774            16.603839
     Depth    # of puzzles    Avg solution cost        Avg time cost
        10               1              1478941             0.000045
        12               1              1394274             0.000107
        13               1               291702             0.000191
        14               1              1907946             0.000151
        15               1               583442             0.000351
        16               1              1899350             0.000631
        17               2               436745             0.001249
        18               3               660480             0.007918
        19               2              1181834             0.003664
        20               7               834969             0.012883
        21               4               361164             0.074208
        22               6               754020             0.057225
        23               6              1039937             0.218226
        24               6               823143             0.389490
        25               4               843744             1.317603
        27               1               211233             5.875834
        28               3              1501266             9.982265
     Depth    # of puzzles    Avg solution cost        Avg time cost
        17               1               287075             0.001038
        18               1              1295423             0.003093
        19               4              1617283             0.005288
        20               5              1634282             0.009707
        21               6              2126052             0.026852
        22               8              1403760             0.061361
        23               3              1820351             0.192624
        24               7              1224134             0.408879
        25               7              1600622             1.526316
        26               2              1871417             2.165421
        27               2              2077001             5.872746
        28               4              1041566            11.153365
     Depth    # of puzzles    Avg solution cost        Avg time cost
        15               1              1509685             0.000508
        16               3               695596             0.001184
        17               3              2178058             0.001622
        18               3              1248660             0.002750
        19               6              1722731             0.006559
        20               3               708499             0.016832
        21               2              1148783             0.048147
        22               5               883750             0.120701
        23               6              1097021             0.286131
        24               8              1624583             0.574303
        25               4              1414733             2.032278
        26               4               892639             5.664418
        27               1              1479819            11.058858
        28               1              2106180            15.974108
     Depth    # of puzzles    Avg solution cost        Avg time cost
        12               1              2177052             0.000120
        15               1              2356611             0.000268
        16               1              1671753             0.001164
        17               1              2176826             0.001376
        18               2               812788             0.001634
        19               1               825523             0.006040
        20               6              2031519             0.014023
        21               6              1774192             0.013483
        22               5              1126177             0.034046
        23               6              1518284             0.033707
        24              10              1421558             0.038836
        25               4              1718658             0.052405
        26               4              1530841             0.101415
        28               1              1998824             0.180905
        30               1              1624873             0.453484
